year_month,Country,AverageTemperature
1841-06,United States,18.867
1841-07,China,19.732
1841-07,United States,21.652
1841-08,China,18.165
1841-08,United States,19.897
1841-09,China,13.047
1841-09,United States,14.695
1841-10,China,6.600999999999999
1841-10,United States,7.849
1841-11,China,-1.528
1841-11,United States,1.976
1841-12,China,-8.181000000000001
1841-12,United States,-2.45
1842-01,China,-8.676
1842-01,United States,-2.712
1842-02,China,-5.176
1842-02,United States,-1.6880000000000002
1842-03,China,2.0420000000000003
1842-03,United States,4.896000000000001
1842-04,China,8.524000000000001
1842-04,United States,8.972000000000003
1842-05,China,12.774
1842-05,United States,12.761
1842-06,China,16.842
1842-06,United States,17.535
1842-07,China,18.57
1842-07,United States,20.01
1842-08,China,17.789
1842-08,United States,19.157
1842-09,China,13.338
1842-09,United States,15.074000000000002
1842-10,China,6.289
1842-10,United States,8.606
1842-11,China,-1.305
1842-11,United States,0.2309999999999999
1842-12,China,-5.669
1842-12,United States,-2.542
1843-01,China,-8.042
1843-01,United States,-2.5900000000000003
1843-02,China,-3.91
1843-02,United States,-4.293
1843-03,China,0.9720000000000002
1843-03,United States,0.0790000000000001
1843-04,China,8.101
1843-04,United States,7.1190000000000015
1843-05,China,12.334
1843-05,United States,12.404000000000002
1843-06,China,16.605
1843-06,United States,17.669
1843-07,China,19.379
1843-07,United States,20.568
1843-08,China,18.454
1843-08,United States,19.48
1843-09,China,13.55
1843-09,United States,15.611
1843-10,China,6.48
1843-10,United States,7.056000000000001
1843-11,China,-1.301
1843-11,United States,1.628
1843-12,China,-5.654999999999999
1843-12,United States,-1.327
1844-01,China,-8.011999999999999
1844-01,United States,-4.2570000000000014
1844-02,China,-5.7010000000000005
1844-02,United States,-1.3090000000000002
1844-03,China,1.6030000000000002
1844-03,United States,1.879
1844-04,China,6.928999999999999
1844-04,United States,9.174
1844-05,China,12.024
1844-05,United States,13.044
1844-06,China,16.802
1844-06,United States,17.817
1844-07,China,19.01
1844-07,United States,21.08
1844-08,China,18.212
1844-08,United States,19.314
1844-09,China,13.024
1844-09,United States,14.376
1844-10,China,7.039
1844-10,United States,7.837999999999999
1844-11,China,-0.481
1844-11,United States,1.202
1844-12,China,-7.830999999999999
1844-12,United States,-3.164
1845-01,China,-7.781000000000001
1845-01,United States,-1.887
1845-02,China,-6.311
1845-02,United States,-1.259
1845-03,China,0.989
1845-03,United States,2.653
1845-04,China,7.5870000000000015
1845-04,United States,8.731
1845-05,China,13.343
1845-05,United States,13.1
1845-06,China,17.814
1845-06,United States,18.06
1845-07,China,19.56600000000001
1845-07,United States,21.317
1845-08,China,17.965999999999998
1845-08,United States,20.241
1845-09,China,13.379
1845-09,United States,15.442
1845-10,China,6.178
1845-10,United States,7.685
1845-11,China,-1.237
1845-11,United States,1.414
1845-12,China,-9.217
1845-12,United States,-4.59
1846-01,China,-8.315999999999999
1846-01,United States,-1.194
1846-02,China,-4.1450000000000005
1846-02,United States,-2.186
1846-03,China,1.82
1846-03,United States,4.004
1846-04,China,6.635000000000002
1846-04,United States,7.489000000000001
1846-05,China,12.54
1846-05,United States,14.364
1846-06,China,17.91
1846-06,United States,18.358
1846-07,China,20.339
1846-07,United States,21.826
1846-08,China,18.885
1846-08,United States,20.785
1846-09,China,13.954
1846-09,United States,16.308
1846-10,China,6.212000000000001
1846-10,United States,8.224
1846-11,China,-1.173
1846-11,United States,2.983
1846-12,China,-5.611000000000001
1846-12,United States,-1.325
1847-01,China,-7.4769999999999985
1847-01,United States,-5.013999999999999
1847-02,China,-5.0120000000000005
1847-02,United States,-1.49
1847-03,China,0.3880000000000001
1847-03,United States,0.214
1847-04,China,7.95
1847-04,United States,8.002
1847-05,China,12.657
1847-05,United States,12.332
1847-06,China,16.72
1847-06,United States,17.855999999999995
1847-07,China,19.687
1847-07,United States,20.932
1847-08,China,17.967
1847-08,United States,19.422
1847-09,China,13.285
1847-09,United States,15.095999999999998
1847-10,China,6.553
1847-10,United States,8.555
1847-11,China,0.361
1847-11,United States,2.1950000000000003
1847-12,China,-7.994
1847-12,United States,-3.215
1848-01,China,-10.861999999999998
1848-01,United States,-3.4910000000000005
1848-02,China,-4.909000000000002
1848-02,United States,-0.89
1848-03,China,0.6740000000000002
1848-03,United States,1.793
1848-04,China,6.987
1848-04,United States,7.301
1848-05,China,12.685
1848-05,United States,13.754
1848-06,China,17.052
1848-06,United States,18.118
1848-07,China,19.714
1848-07,United States,20.497
1848-08,China,17.895
1848-08,United States,19.463
1848-09,China,13.154000000000002
1848-09,United States,14.119000000000002
1848-10,China,6.468999999999999
1848-10,United States,8.721
1848-11,China,-1.3190000000000002
1848-11,United States,0.5310000000000001
1848-12,China,-6.263
1848-12,United States,-3.714
1849-01,China,-7.779
1849-01,United States,-4.8050000000000015
1849-02,China,-5.032
1849-02,United States,-3.42
1849-03,China,1.694
1849-03,United States,2.8110000000000004
1849-04,China,6.7730000000000015
1849-04,United States,7.061
1849-05,China,12.113
1849-05,United States,12.376
1849-06,China,17.051
1849-06,United States,18.877
1849-07,China,19.082
1849-07,United States,21.099
1849-08,China,18.477
1849-08,United States,20.072
1849-09,China,13.438
1849-09,United States,15.59
1849-10,China,6.537000000000001
1849-10,United States,8.195
1849-11,China,-1.145
1849-11,United States,3.702
1849-12,China,-7.951
1849-12,United States,-4.008
1850-01,China,-9.667
1850-01,Indonesia,24.324
1850-01,United States,-3.5000000000000004
1850-02,China,-5.662000000000001
1850-02,Indonesia,25.772
1850-02,United States,-1.866
1850-03,China,1.352
1850-03,Indonesia,25.508000000000003
1850-03,United States,1.2029999999999998
1850-04,China,6.279
1850-04,Indonesia,24.966
1850-04,United States,6.434000000000001
1850-05,China,12.577
1850-05,Indonesia,24.815
1850-05,United States,12.444
1850-06,China,16.993
1850-06,Indonesia,25.238000000000003
1850-06,United States,18.399
1850-07,China,19.555
1850-07,Indonesia,25.406
1850-07,United States,21.577
1850-08,China,18.341
1850-08,Indonesia,25.24
1850-08,United States,21.305
1850-09,China,13.558
1850-09,Indonesia,24.882
1850-09,United States,16.205
1850-10,China,6.557
1850-10,Indonesia,24.705
1850-10,United States,9.138
1850-11,China,-1.895
1850-11,Indonesia,24.71
1850-11,United States,2.341
1850-12,China,-7.101999999999999
1850-12,Indonesia,24.893
1850-12,United States,-4.699999999999998
1851-01,China,-8.463
1851-01,Indonesia,25.513
1851-01,United States,-3.0860000000000003
1851-02,China,-5.7010000000000005
1851-02,Indonesia,25.356
1851-02,United States,-1.3
1851-03,China,-0.7230000000000001
1851-03,Indonesia,24.802
1851-03,United States,3.1010000000000004
1851-04,China,5.575
1851-04,Indonesia,24.874
1851-04,United States,7.706
1851-05,China,12.563
1851-05,Indonesia,25.695
1851-05,United States,14.004
1851-06,China,17.627
1851-06,Indonesia,25.493
1851-06,United States,18.762
1851-07,China,19.942
1851-07,Indonesia,25.423
1851-07,United States,21.42
1851-08,China,18.39
1851-08,Indonesia,25.164
1851-08,United States,20.416
1851-09,China,13.148
1851-09,Indonesia,25.165
1851-09,United States,16.586
1851-10,China,6.403
1851-10,Indonesia,25.388
1851-10,United States,9.066
1851-11,China,-2.224
1851-11,Indonesia,24.695
1851-11,United States,1.196
1851-12,China,-7.143
1851-12,Indonesia,25.406
1851-12,United States,-3.981
1852-01,China,-8.866999999999997
1852-01,Indonesia,25.315
1852-01,United States,-4.5600000000000005
1852-02,China,-6.925000000000002
1852-02,Indonesia,25.03700000000001
1852-02,United States,-0.86
1852-03,China,-1.233
1852-03,Indonesia,24.544
1852-03,United States,1.5099999999999998
1852-04,China,6.6640000000000015
1852-04,Indonesia,25.099
1852-04,United States,6.4220000000000015
1852-05,China,13.003
1852-05,Indonesia,25.782
1852-05,United States,14.034
1852-06,China,17.581
1852-06,Indonesia,25.444000000000003
1852-06,United States,18.787
1852-07,China,20.164
1852-07,Indonesia,25.327
1852-07,United States,21.327
1852-08,China,17.961
1852-08,Indonesia,24.774
1852-08,United States,19.911
1852-09,China,13.287
1852-09,Indonesia,25.082
1852-09,United States,14.864
1852-10,China,7.2349999999999985
1852-10,Indonesia,25.181
1852-10,United States,9.341
1852-11,China,-2.132
